cluster_name,representative_length,number_of_members,representative,type,num_viral_members,viral_ratio,is_circular,pos_cluster
Cluster_37,159041,3,H_NODE_36_length_159041_cov_34.012183,hybrid extension,3,1,0,0
Cluster_38,152925,2,S_NODE_30_length_152925_cov_11.665375,identical,NA,NA,0,NA
Cluster_39,150050,2,S_NODE_31_length_150050_cov_23.787337,identical,NA,NA,0,NA
Cluster_40,149449,3,H_NODE_40_length_149449_cov_14.083893,hybrid extension,2,0.666666666666667,0,125
Cluster_41,149400,4,S_NODE_32_length_149400_cov_23.675501,short longer than hybrid,NA,NA,0,NA
Cluster_42,147990,2,H_NODE_42_length_147990_cov_21.851342,identical,2,1,0,412
Cluster_43,146705,3,H_NODE_43_length_146705_cov_49.466359,hybrid extension,3,1,0,4
Cluster_44,146430,2,H_NODE_44_length_146430_cov_52.395009,identical,6,3,0,342
Cluster_44,146430,2,H_NODE_44_length_146430_cov_52.395009,identical,6,3,0,342
Cluster_44,146430,2,H_NODE_44_length_146430_cov_52.395009,identical,6,3,0,342
Cluster_45,141229,2,H_NODE_45_length_141229_cov_11.767750,identical,NA,NA,0,NA
Cluster_46,140460,2,S_NODE_38_length_140460_cov_23.488224,identical,NA,NA,0,NA
Cluster_47,140137,3,H_NODE_47_length_140137_cov_42.958667,hybrid extension,3,1,0,7
Cluster_48,140112,3,H_NODE_48_length_140112_cov_58.638461,hybrid extension,5,1.66666666666667,0,6
Cluster_49,139878,4,H_NODE_49_length_139878_cov_16.664804,hybrid extension,2,0.5,0,NA
Cluster_50,139631,5,H_NODE_50_length_139631_cov_48.646756,hybrid extension,NA,NA,0,NA
Cluster_51,136012,2,H_NODE_52_length_136012_cov_15.501520,hybrid extension,2,1,0,10
Cluster_52,135281,4,H_NODE_53_length_135281_cov_26.376097,hybrid extension,3,0.75,0,218
Cluster_53,134593,2,H_NODE_54_length_134593_cov_78.915406,identical,4,2,0,65
Cluster_53,134593,2,H_NODE_54_length_134593_cov_78.915406,identical,4,2,0,65
Cluster_54,133576,2,H_NODE_55_length_133576_cov_23.584530,identical,NA,NA,0,NA
Cluster_55,133522,2,H_NODE_56_length_133522_cov_25.966678,hybrid extension,2,1,0,104
Cluster_56,130490,2,S_NODE_45_length_130490_cov_46.790769,short longer than hybrid,4,2,0,10
Cluster_56,130490,2,S_NODE_45_length_130490_cov_46.790769,short longer than hybrid,4,2,0,10
Cluster_57,129445,4,S_NODE_47_length_129445_cov_40.231901,short longer than hybrid,4,1,0,10
Cluster_58,128728,3,H_NODE_58_length_128728_cov_41.797319,hybrid extension,3,1,0,7
Cluster_59,128597,2,S_NODE_48_length_128597_cov_24.079785,identical,NA,NA,0,NA
Cluster_60,125705,4,S_NODE_50_length_125705_cov_50.153578,short longer than hybrid,NA,NA,0,NA
Cluster_61,125601,15,H_NODE_61_length_125601_cov_22.455529,hybrid extension,1,0.0666666666666667,0,NA
Cluster_62,121278,5,H_NODE_62_length_121278_cov_54.061073,hybrid extension,1,0.2,0,NA
Cluster_63,121112,2,S_NODE_51_length_121112_cov_13.575030,identical,NA,NA,0,NA
Cluster_64,120038,3,H_NODE_64_length_120038_cov_27.884222,hybrid extension,3,1,0,7
Cluster_65,118132,2,S_NODE_54_length_118132_cov_49.868175,short longer than hybrid,NA,NA,0,NA
Cluster_66,113319,4,S_NODE_57_length_113319_cov_49.531106,short longer than hybrid,NA,NA,0,NA
Cluster_67,112793,2,S_NODE_58_length_112793_cov_8.354552,identical,NA,NA,0,NA
Cluster_68,111444,11,H_NODE_68_length_111444_cov_52.350081,hybrid extension,NA,NA,0,NA
Cluster_69,111159,2,S_NODE_60_length_111159_cov_31.573690,short longer than hybrid,2,1,0,28
Cluster_70,110103,14,H_NODE_70_length_110103_cov_20.553657,hybrid extension,3,0.214285714285714,0,NA
Cluster_71,110050,2,S_NODE_62_length_110050_cov_11.786605,identical,NA,NA,0,NA
Cluster_72,109956,2,S_NODE_63_length_109956_cov_12.105318,identical,NA,NA,0,NA
Cluster_73,108792,2,S_NODE_64_length_108792_cov_41.237445,short longer than hybrid,2,1,1,220
Cluster_74,108435,3,H_NODE_73_length_108435_cov_72.913017,hybrid extension,3,1,0,0
Cluster_75,108366,2,H_NODE_75_length_108366_cov_72.059341,hybrid extension,2,1,0,40
Cluster_76,108037,3,H_NODE_76_length_108037_cov_55.027023,hybrid extension,4,1.33333333333333,0,850
Cluster_76,108037,3,H_NODE_76_length_108037_cov_55.027023,hybrid extension,4,1.33333333333333,0,850
Cluster_77,107788,9,H_NODE_77_length_107788_cov_20.476551,hybrid extension,NA,NA,0,NA
Cluster_78,107233,2,S_NODE_67_length_107233_cov_78.202939,short longer than hybrid,2,1,1,220
Cluster_79,105757,2,S_NODE_68_length_105757_cov_11.788195,identical,2,1,0,398
Cluster_80,105361,7,H_NODE_80_length_105361_cov_16.408794,hybrid extension,1,0.142857142857143,0,NA
Cluster_81,105057,3,H_NODE_81_length_105057_cov_71.176746,hybrid extension,3,1,1,40
Cluster_82,104434,2,H_NODE_82_length_104434_cov_55.991055,identical,2,1,0,443
Cluster_83,104251,2,S_NODE_70_length_104251_cov_39.197697,identical,2,1,0,40
Cluster_84,103933,3,H_NODE_84_length_103933_cov_51.248059,hybrid extension,1,0.333333333333333,0,NA
Cluster_85,102976,2,H_NODE_85_length_102976_cov_48.386956,identical,NA,NA,0,NA
Cluster_86,102409,2,H_NODE_86_length_102409_cov_75.109403,hybrid extension,2,1,0,220
Cluster_87,102274,2,H_NODE_87_length_102274_cov_11.895083,identical,NA,NA,0,NA
Cluster_88,102014,3,H_NODE_88_length_102014_cov_81.863898,hybrid extension,3,1,0,40
Cluster_89,100993,3,H_NODE_90_length_100993_cov_16.320217,hybrid extension,NA,NA,0,NA
Cluster_90,100929,2,H_NODE_91_length_100929_cov_8.513670,identical,NA,NA,0,NA
Cluster_91,100853,3,H_NODE_92_length_100853_cov_11.499970,hybrid extension,1,0.333333333333333,0,NA
Cluster_92,100528,2,H_NODE_93_length_100528_cov_11.563202,identical,NA,NA,0,NA
Cluster_93,98877,3,H_NODE_94_length_98877_cov_18.416466,hybrid extension,3,1,0,40
Cluster_94,98766,2,S_NODE_79_length_98766_cov_26.841817,short longer than hybrid,2,1,0,220
Cluster_95,98438,3,H_NODE_96_length_98438_cov_21.090875,hybrid extension,3,1,0,18
Cluster_96,96901,2,H_NODE_97_length_96901_cov_21.031455,identical,2,1,0,619
Cluster_97,95829,3,H_NODE_98_length_95829_cov_25.012414,hybrid extension,3,1,0,7
Cluster_98,95798,5,S_NODE_83_length_95798_cov_49.507719,short longer than hybrid,1,0.2,0,NA
Cluster_99,95636,2,S_NODE_84_length_95636_cov_21.712530,identical,NA,NA,0,NA
Cluster_100,95571,3,H_NODE_100_length_95571_cov_56.035340,hybrid extension,3,1,0,18
Cluster_101,95019,3,H_NODE_101_length_95019_cov_35.742086,hybrid extension,3,1,0,0
Cluster_102,94465,3,H_NODE_102_length_94465_cov_12.819299,hybrid extension,NA,NA,0,NA
Cluster_103,93618,3,H_NODE_103_length_93618_cov_17.467382,hybrid extension,2,0.666666666666667,0,218
Cluster_104,92344,2,S_NODE_87_length_92344_cov_78.653166,short longer than hybrid,2,1,0,28
Cluster_105,91841,6,H_NODE_104_length_91841_cov_60.127025,hybrid extension,6,1,0,0
Cluster_106,91340,20,H_NODE_105_length_91340_cov_47.656485,hybrid extension,NA,NA,0,NA
Cluster_107,91108,9,H_NODE_106_length_91108_cov_50.954397,hybrid extension,3,0.333333333333333,0,NA
Cluster_108,90841,19,S_NODE_89_length_90841_cov_15.460039,short longer than hybrid,6,0.315789473684211,0,NA
Cluster_109,90805,2,S_NODE_90_length_90805_cov_66.635799,short longer than hybrid,2,1,1,18
Cluster_110,90732,4,H_NODE_107_length_90732_cov_79.289311,hybrid extension,4,1,0,0
Cluster_111,90300,2,H_NODE_108_length_90300_cov_22.132667,identical,2,1,0,358
Cluster_112,89898,2,S_NODE_93_length_89898_cov_24.426585,identical,NA,NA,0,NA
Cluster_113,86816,14,H_NODE_112_length_86816_cov_19.413928,hybrid extension,5,0.357142857142857,0,NA
Cluster_114,86816,5,H_NODE_111_length_86816_cov_21.361926,hybrid extension,5,1,0,10
Cluster_115,86349,10,H_NODE_113_length_86349_cov_21.154926,hybrid extension,NA,NA,0,NA
Cluster_116,86271,2,S_NODE_95_length_86271_cov_34.990086,short longer than hybrid,2,1,1,59
Cluster_117,86240,2,H_NODE_114_length_86240_cov_15.449061,hybrid extension,NA,NA,0,NA
Cluster_118,86004,3,H_NODE_115_length_86004_cov_16.177009,hybrid extension,3,1,0,7
Cluster_119,85384,3,H_NODE_116_length_85384_cov_23.088802,hybrid extension,3,1,0,1209
Cluster_120,85191,2,H_NODE_117_length_85191_cov_8.412713,identical,NA,NA,0,NA
Cluster_121,85159,2,H_NODE_119_length_85159_cov_60.438329,hybrid extension,2,1,0,414
Cluster_122,84878,2,H_NODE_120_length_84878_cov_41.240363,identical,2,1,1,59
Cluster_123,84654,2,S_NODE_100_length_84654_cov_32.086659,short longer than hybrid,2,1,1,45
Cluster_124,84495,4,H_NODE_121_length_84495_cov_54.173774,hybrid extension,4,1,0,850
Cluster_125,84235,2,S_NODE_102_length_84235_cov_56.001926,identical,2,1,0,414
Cluster_126,83756,2,H_NODE_123_length_83756_cov_85.363845,hybrid extension,2,1,0,59
Cluster_127,83656,2,S_NODE_103_length_83656_cov_20.009709,identical,2,1,0,1591
Cluster_128,82620,4,H_NODE_127_length_82620_cov_29.945862,hybrid extension,4,1,0,6
Cluster_129,82592,8,H_NODE_128_length_82592_cov_83.035664,hybrid extension,8,1,0,0
Cluster_130,82457,2,S_NODE_106_length_82457_cov_22.899903,identical,2,1,0,125
Cluster_131,82456,2,S_NODE_107_length_82456_cov_15.290104,identical,2,1,0,40
Cluster_132,82366,2,S_NODE_108_length_82366_cov_23.511947,identical,2,1,0,892
Cluster_133,81429,2,S_NODE_111_length_81429_cov_16.904738,identical,NA,NA,0,NA
Cluster_134,80749,3,H_NODE_134_length_80749_cov_47.775086,hybrid extension,3,1,0,0
Cluster_135,80681,2,S_NODE_112_length_80681_cov_82.579822,short longer than hybrid,2,1,0,104
Cluster_136,80167,17,H_NODE_136_length_80167_cov_84.036432,hybrid extension,17,1,0,104
Cluster_137,80100,2,H_NODE_137_length_80100_cov_8.641216,identical,NA,NA,0,NA
Cluster_138,79862,6,S_NODE_114_length_79862_cov_70.961861,short longer than hybrid,6,1,0,0
Cluster_139,79471,5,H_NODE_139_length_79471_cov_22.263662,hybrid extension,5,1,0,7
Cluster_140,79031,3,H_NODE_140_length_79031_cov_51.900905,hybrid extension,3,1,0,218
Cluster_141,78876,2,H_NODE_141_length_78876_cov_24.441834,identical,NA,NA,0,NA
Cluster_142,78436,4,H_NODE_142_length_78436_cov_74.395804,hybrid extension,4,1,0,0
Cluster_143,78360,2,H_NODE_143_length_78360_cov_9.561055,identical,2,1,0,515
Cluster_144,77952,2,S_NODE_120_length_77952_cov_40.443559,identical,2,1,0,414
Cluster_145,77735,2,H_NODE_145_length_77735_cov_43.436025,hybrid extension,2,1,0,117
Cluster_146,77594,20,H_NODE_146_length_77594_cov_15.303329,hybrid extension,3,0.15,0,NA
Cluster_147,77306,2,H_NODE_147_length_77306_cov_8.273235,identical,2,1,0,412
Cluster_148,77124,2,H_NODE_148_length_77124_cov_22.578087,identical,NA,NA,0,NA
Cluster_149,77078,5,S_NODE_123_length_77078_cov_22.614937,short longer than hybrid,3,0.6,0,125
Cluster_150,76738,3,H_NODE_150_length_76738_cov_17.123820,hybrid extension,NA,NA,0,NA
Cluster_151,76724,2,S_NODE_125_length_76724_cov_21.585806,identical,2,1,0,311
Cluster_152,76492,2,H_NODE_152_length_76492_cov_8.535154,identical,NA,NA,0,NA
Cluster_153,76334,2,S_NODE_128_length_76334_cov_22.037044,identical,2,1,0,609
Cluster_154,76147,2,S_NODE_130_length_76147_cov_23.665627,short longer than hybrid,2,1,0,1
Cluster_155,75841,8,H_NODE_154_length_75841_cov_30.978709,hybrid extension,8,1,0,20
Cluster_156,75082,2,H_NODE_156_length_75082_cov_14.915950,identical,2,1,0,28
Cluster_157,74976,9,S_NODE_137_length_74976_cov_20.060028,short longer than hybrid,2,0.222222222222222,0,NA
Cluster_158,74645,2,S_NODE_138_length_74645_cov_22.167288,identical,2,1,0,810
Cluster_159,74397,2,S_NODE_139_length_74397_cov_15.850155,identical,2,1,0,NA
Cluster_160,74034,2,H_NODE_159_length_74034_cov_21.914365,identical,NA,NA,0,NA
Cluster_161,74017,2,H_NODE_160_length_74017_cov_11.219976,hybrid extension,2,1,0,18
Cluster_162,73693,3,H_NODE_161_length_73693_cov_33.823546,hybrid extension,3,1,0,222
Cluster_163,73684,7,S_NODE_145_length_73684_cov_83.704515,short longer than hybrid,7,1,0,40
Cluster_164,73626,2,S_NODE_146_length_73626_cov_81.299990,short longer than hybrid,2,1,0,0
Cluster_165,73568,2,H_NODE_162_length_73568_cov_16.381721,hybrid extension,NA,NA,0,NA
Cluster_166,73393,6,H_NODE_163_length_73393_cov_19.159324,hybrid extension,NA,NA,0,NA
Cluster_167,72615,8,S_NODE_151_length_72615_cov_40.960669,short longer than hybrid,8,1,0,1
Cluster_168,72419,4,H_NODE_167_length_72419_cov_52.852293,hybrid extension,4,1,0,0
Cluster_169,72341,2,S_NODE_152_length_72341_cov_31.346082,identical,NA,NA,0,NA
Cluster_170,72034,2,H_NODE_170_length_72034_cov_22.782024,identical,2,1,0,603
Cluster_171,71732,2,H_NODE_171_length_71732_cov_8.465093,identical,NA,NA,0,NA
Cluster_172,71424,2,H_NODE_172_length_71424_cov_25.527722,hybrid extension,2,1,1,303
Cluster_173,71359,2,S_NODE_159_length_71359_cov_25.761750,identical,NA,NA,0,NA
Cluster_174,70936,3,S_NODE_160_length_70936_cov_14.502337,short longer than hybrid,3,1,0,59
Cluster_175,70654,3,H_NODE_174_length_70654_cov_27.613084,hybrid extension,3,1,0,7
Cluster_176,70251,3,H_NODE_175_length_70251_cov_21.924434,hybrid extension,3,1,0,68
Cluster_177,70030,19,H_NODE_176_length_70030_cov_13.187832,hybrid extension,NA,NA,0,NA
Cluster_178,69802,20,H_NODE_177_length_69802_cov_16.017510,hybrid extension,2,0.1,0,NA
Cluster_179,69610,2,S_NODE_162_length_69610_cov_36.251428,short longer than hybrid,2,1,0,1
Cluster_180,69594,2,S_NODE_163_length_69594_cov_54.772885,short longer than hybrid,2,1,0,217
Cluster_181,69298,2,S_NODE_164_length_69298_cov_12.036417,identical,NA,NA,0,NA
Cluster_182,69191,2,H_NODE_180_length_69191_cov_24.762858,identical,2,1,0,514
Cluster_183,69092,2,H_NODE_181_length_69092_cov_21.356021,identical,2,1,0,553
Cluster_184,68888,3,H_NODE_182_length_68888_cov_80.719434,hybrid extension,3,1,0,414
Cluster_185,68821,3,H_NODE_183_length_68821_cov_18.137479,hybrid extension,NA,NA,0,NA
Cluster_186,68810,2,S_NODE_168_length_68810_cov_20.632209,identical,2,1,0,40
Cluster_187,68513,2,H_NODE_185_length_68513_cov_8.709400,identical,2,1,0,711
Cluster_188,68496,7,H_NODE_186_length_68496_cov_20.055683,hybrid extension,NA,NA,0,NA
Cluster_189,68106,2,S_NODE_170_length_68106_cov_21.293885,identical,2,1,0,261
Cluster_190,68001,6,H_NODE_189_length_68001_cov_62.917391,hybrid extension,6,1,0,11
Cluster_191,67887,2,H_NODE_190_length_67887_cov_12.241293,identical,NA,NA,0,NA
Cluster_192,67786,2,S_NODE_173_length_67786_cov_20.873867,short longer than hybrid,2,1,0,1
Cluster_193,67718,2,S_NODE_174_length_67718_cov_8.469219,identical,NA,NA,0,NA
Cluster_194,67353,9,H_NODE_194_length_67353_cov_28.622601,hybrid extension,9,1,0,122
Cluster_195,66983,11,H_NODE_195_length_66983_cov_22.376122,hybrid extension,11,1,0,1
Cluster_196,66829,2,H_NODE_196_length_66829_cov_10.672274,identical,NA,NA,0,NA
Cluster_197,66669,3,H_NODE_197_length_66669_cov_37.786736,hybrid extension,3,1,0,222
Cluster_198,66226,4,H_NODE_199_length_66226_cov_72.608269,hybrid extension,4,1,0,30
Cluster_199,66209,2,H_NODE_200_length_66209_cov_8.580763,identical,NA,NA,0,NA
Cluster_200,66137,3,H_NODE_201_length_66137_cov_42.116800,hybrid extension,3,1,0,7
Cluster_201,65707,5,H_NODE_202_length_65707_cov_75.843931,hybrid extension,5,1,0,17
Cluster_202,65534,2,S_NODE_179_length_65534_cov_30.044934,identical,2,1,0,30
Cluster_203,65485,2,S_NODE_180_length_65485_cov_21.460326,identical,NA,NA,0,NA
Cluster_204,65439,4,H_NODE_205_length_65439_cov_32.340596,hybrid extension,4,1,0,40
Cluster_205,65230,2,H_NODE_206_length_65230_cov_13.106078,identical,2,1,0,666
Cluster_206,65104,4,H_NODE_207_length_65104_cov_63.326038,hybrid extension,4,1,0,11
Cluster_207,65055,5,H_NODE_208_length_65055_cov_16.775983,hybrid extension,5,1,0,553
Cluster_208,65047,8,H_NODE_209_length_65047_cov_67.043022,hybrid extension,8,1,0,19
Cluster_209,65047,6,H_NODE_210_length_65047_cov_12.567329,hybrid extension,NA,NA,0,NA
Cluster_210,64987,3,S_NODE_183_length_64987_cov_82.650863,short longer than hybrid,3,1,0,28
Cluster_211,64894,2,H_NODE_211_length_64894_cov_85.414686,identical,2,1,1,955
Cluster_212,64690,2,S_NODE_186_length_64690_cov_38.875749,identical,2,1,1,222
Cluster_213,64598,2,S_NODE_187_length_64598_cov_55.997177,short longer than hybrid,2,1,0,535
Cluster_214,64506,3,H_NODE_213_length_64506_cov_18.271937,hybrid extension,3,1,0,40
Cluster_215,64367,2,S_NODE_188_length_64367_cov_35.881320,short longer than hybrid,2,1,0,303
Cluster_216,64217,3,H_NODE_216_length_64217_cov_76.208145,hybrid extension,3,1,0,17
Cluster_217,64134,2,S_NODE_190_length_64134_cov_72.075414,short longer than hybrid,2,1,1,19
Cluster_218,63835,3,S_NODE_191_length_63835_cov_25.632244,short longer than hybrid,3,1,0,17
Cluster_219,63659,2,H_NODE_217_length_63659_cov_17.050903,identical,2,1,0,28
Cluster_220,63375,3,H_NODE_218_length_63375_cov_33.576746,hybrid extension,3,1,0,294
Cluster_221,63208,3,H_NODE_219_length_63208_cov_22.872355,hybrid extension,3,1,0,1
Cluster_222,62907,3,H_NODE_220_length_62907_cov_39.181746,hybrid extension,3,1,1,27
Cluster_223,62740,3,H_NODE_221_length_62740_cov_19.939022,hybrid extension,3,1,0,1503
Cluster_224,62711,6,H_NODE_222_length_62711_cov_51.346734,hybrid extension,6,1,0,61
Cluster_225,62663,10,S_NODE_193_length_62663_cov_12.339980,short longer than hybrid,NA,NA,0,NA
Cluster_226,62606,4,H_NODE_223_length_62606_cov_76.287184,hybrid extension,4,1,0,0
Cluster_227,62603,2,H_NODE_224_length_62603_cov_22.548851,identical,NA,NA,0,NA
Cluster_228,62502,3,S_NODE_195_length_62502_cov_21.852457,short longer than hybrid,3,1,0,28
Cluster_229,62449,7,H_NODE_225_length_62449_cov_65.988543,hybrid extension,7,1,0,0
Cluster_230,62350,6,H_NODE_226_length_62350_cov_62.130145,hybrid extension,6,1,0,554
Cluster_231,62209,2,H_NODE_227_length_62209_cov_9.050176,identical,NA,NA,0,NA
Cluster_232,62194,4,H_NODE_228_length_62194_cov_32.380653,hybrid extension,4,1,0,0
Cluster_233,62136,2,H_NODE_229_length_62136_cov_12.324179,identical,2,1,0,493
Cluster_234,62080,2,H_NODE_230_length_62080_cov_82.603070,identical,2,1,1,30
Cluster_235,61875,9,H_NODE_231_length_61875_cov_36.315233,hybrid extension,9,1,0,74
Cluster_236,61466,2,S_NODE_201_length_61466_cov_18.542428,identical,2,1,0,302
Cluster_237,61419,3,H_NODE_234_length_61419_cov_29.545455,hybrid extension,3,1,0,11
Cluster_238,61350,2,H_NODE_236_length_61350_cov_8.753769,identical,NA,NA,0,NA
Cluster_239,61077,2,H_NODE_237_length_61077_cov_7.794323,identical,NA,NA,0,NA
Cluster_240,60700,7,H_NODE_238_length_60700_cov_83.541776,hybrid extension,7,1,0,0
Cluster_241,60656,2,S_NODE_204_length_60656_cov_65.950272,identical,2,1,0,235
Cluster_242,60442,2,S_NODE_205_length_60442_cov_83.912294,identical,2,1,0,17
Cluster_243,60335,16,H_NODE_241_length_60335_cov_22.383155,hybrid extension,4,0.25,0,NA
Cluster_244,60226,3,H_NODE_242_length_60226_cov_37.128505,hybrid extension,3,1,0,1
Cluster_245,60149,2,S_NODE_209_length_60149_cov_21.561344,identical,NA,NA,0,NA
Cluster_246,60049,2,S_NODE_210_length_60049_cov_21.452255,identical,2,1,0,603
Cluster_247,59836,2,S_NODE_212_length_59836_cov_12.666332,identical,2,1,1,17
Cluster_248,59669,4,H_NODE_247_length_59669_cov_83.410551,hybrid extension,4,1,0,0
Cluster_249,59617,9,H_NODE_248_length_59617_cov_86.529534,hybrid extension,9,1,0,104
Cluster_250,59571,4,S_NODE_213_length_59571_cov_60.422616,short longer than hybrid,4,1,0,235
Cluster_251,59493,3,H_NODE_249_length_59493_cov_39.197622,hybrid extension,3,1,0,27
Cluster_252,59333,4,H_NODE_250_length_59333_cov_11.824832,hybrid extension,4,1,0,666
Cluster_253,59237,2,H_NODE_251_length_59237_cov_23.904720,identical,2,1,0,557
Cluster_254,59233,2,H_NODE_252_length_59233_cov_70.475265,identical,2,1,0,54
Cluster_255,59055,4,H_NODE_253_length_59055_cov_36.508892,hybrid extension,4,1,0,4
Cluster_256,58926,3,H_NODE_254_length_58926_cov_36.918162,hybrid extension,3,1,0,27
Cluster_257,58810,3,H_NODE_255_length_58810_cov_15.732597,hybrid extension,3,1,0,9
Cluster_258,58696,14,H_NODE_256_length_58696_cov_13.634209,hybrid extension,NA,NA,0,NA
Cluster_259,58682,3,H_NODE_257_length_58682_cov_32.746853,hybrid extension,3,1,0,11
Cluster_260,58678,5,H_NODE_258_length_58678_cov_38.326075,hybrid extension,5,1,0,334
Cluster_261,58525,3,H_NODE_260_length_58525_cov_25.060841,hybrid extension,3,1,0,309
Cluster_262,58463,3,H_NODE_262_length_58463_cov_30.197151,hybrid extension,3,1,0,0
Cluster_263,58457,7,S_NODE_219_length_58457_cov_26.381913,short longer than hybrid,NA,NA,0,NA
Cluster_264,58314,2,S_NODE_220_length_58314_cov_19.940296,identical,2,1,1,15
Cluster_265,58298,2,S_NODE_221_length_58298_cov_24.253236,identical,2,1,0,711
Cluster_266,58261,4,H_NODE_265_length_58261_cov_11.721110,hybrid extension,4,1,0,17
Cluster_267,58248,2,H_NODE_266_length_58248_cov_26.548545,identical,2,1,0,30
Cluster_268,58185,2,S_NODE_223_length_58185_cov_17.057098,short longer than hybrid,2,1,0,422
Cluster_269,58043,17,H_NODE_267_length_58043_cov_14.131570,hybrid extension,3,0.176470588235294,0,NA
Cluster_270,57936,2,S_NODE_227_length_57936_cov_36.329603,identical,2,1,0,40
Cluster_271,57858,2,H_NODE_269_length_57858_cov_61.143909,hybrid extension,2,1,0,5
Cluster_272,57846,3,H_NODE_271_length_57846_cov_10.465393,hybrid extension,NA,NA,0,NA
Cluster_273,57768,3,S_NODE_230_length_57768_cov_50.593761,short longer than hybrid,NA,NA,0,NA
Cluster_274,57600,2,H_NODE_272_length_57600_cov_21.043255,identical,2,1,0,1351
Cluster_275,57594,2,H_NODE_273_length_57594_cov_20.589225,identical,2,1,0,4
Cluster_276,57499,14,S_NODE_234_length_57499_cov_15.048386,short longer than hybrid,2,0.142857142857143,0,NA
Cluster_277,57424,3,H_NODE_275_length_57424_cov_45.704068,hybrid extension,3,1,0,0
