id,name,taxonomy,pos_cluster
NC_020158.1,Halovirus HVTV-1,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; unclassified archaeal dsDNA viruses; Haloviruses",77.0
KC117377.1,Halovirus HVTV-1,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; unclassified archaeal dsDNA viruses; Haloviruses",77.0
NC_005083.2,Vibrio phage KVP40,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Schizot4virus",352.0
AY375531.1,Aeromonas virus 44RR2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Biquartavirus",211.0
NC_029043.1,Mycobacterium phage SweetiePie,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",37.0
NC_026595.1,Mycobacterium phage Hades,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",23.0
NC_026588.1,Mycobacterium phage Squirty,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",23.0
NC_026584.1,Mycobacterium phage Minerva,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",175.0
KM591906.1,Mycobacterium phage SweetiePie,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",37.0
KM591905.1,Mycobacterium phage RonRayGun,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",840.0
KM101124.1,Mycobacterium phage Squirty,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",23.0
KM101123.1,Mycobacterium phage Minerva,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",175.0
KM101122.1,Mycobacterium phage Hades,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",23.0
NC_023576.1,Citrobacter phage CR44b,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified Autographivirinae",172.0
NC_023548.1,Citrobacter phage CR8,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified Autographivirinae",172.0
NC_024148.1,Mycobacterium phage Phantastic,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",80.0
NC_024147.1,Mycobacterium phage ZoeJ,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",66.0
NC_024141.1,Mycobacterium phage Kampy,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",48.0
NC_024135.1,Mycobacterium phage Bernal13,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bernal13virus",840.0
KJ510415.1,Mycobacterium phage Phantastic,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",80.0
KJ510414.1,Mycobacterium phage Kampy,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",48.0
KJ510413.1,Mycobacterium phage Bernal13,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bernal13virus",840.0
KJ510412.1,Mycobacterium phage ZoeJ,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",66.0
NC_023725.1,Mycobacterium phage Nappy,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
NC_022066.1,Mycobacterium phage Redno2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",175.0
NC_022055.1,Mycobacterium phage Bobi,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",23.0
KF114875.1,Mycobacterium phage Redno2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",175.0
KF114874.1,Mycobacterium phage Bobi,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",23.0
NC_021471.1,Halovirus HSTV-1,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; unclassified archaeal dsDNA viruses; Haloviruses",1584.0
KC117378.1,Halovirus HSTV-1,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; unclassified archaeal dsDNA viruses; Haloviruses",1584.0
NC_010463.1,Salmonella phage Fels-2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Peduovirinae; P2virus",121.0
NC_001330.1,Enterobacteria phage alpha3,Viruses; ssDNA viruses; Microviridae; Bullavirinae; Alpha3microvirus,243.0
JN699627.1,Mycobacterium phage Nappy,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
AY264778.1,Enterobacteria phage T7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
AY264776.1,Enterobacteria phage T7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
NC_011534.1,Kluyvera phage Kvp1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",181.0
NC_001417.2,Escherichia virus MS2,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Levivirus",251.0
NC_007456.1,Enterobacteria phage K1F,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",172.0
NC_003298.1,Enterobacteria phage T3,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",149.0
NC_001426.1,Escherichia virus BZ13,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Levivirus",251.0
NC_001422.1,Enterobacteria phage phiX174 sensu lato,Viruses; ssDNA viruses; Microviridae; Bullavirinae; Phix174microvirus; unclassified Phix174microvirus,22.0
HG818824.1,Citrobacter phage CR8,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified Autographivirinae",172.0
HG818823.1,Citrobacter phage CR44b,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified Autographivirinae",172.0
NC_024137.1,Bacillus phage Bcp1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",103.0
KJ451625.1,Bacillus phage Bcp1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",103.0
NC_023714.1,Mycobacterium phage LinStu,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
NC_023696.1,Mycobacterium phage Dandelion,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
NC_021339.1,Streptomyces phage Zemlya,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",97.0
NC_021304.1,Streptomyces phage Sujidade,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",97.0
NC_021298.1,Streptomyces phage Lika,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Arquatrovirinae; Likavirus",97.0
KC700558.1,Streptomyces phage Zemlya,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",97.0
KC700557.1,Streptomyces phage Sujidade,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",97.0
KC700556.1,Streptomyces phage Lika,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Arquatrovirinae; Likavirus",97.0
NC_010393.1,Phage Gifsy-2,Viruses; unclassified bacterial viruses,370.0
NC_010392.1,Phage Gifsy-1,Viruses; unclassified bacterial viruses,556.0
NC_010391.1,Salmonella phage Fels-1,Viruses; unclassified bacterial viruses,370.0
NC_005260.1,Aeromonas virus Aeh1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",255.0
NC_005066.1,Enterobacteria phage RB49,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Rb49virus",402.0
NC_004928.1,Enterobacteria phage RB69,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Rb69virus",36.0
NC_004777.1,Yersinia phage phiA1122,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
NC_001271.1,Yersinia phage phiYeO3-12,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",149.0
JN849462.1,Vibriophage phi-pp2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Schizot4virus",352.0
JN412592.1,Mycobacterium phage LinStu,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
JN412588.1,Mycobacterium phage Dandelion,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
JN204348.1,Mycobacterium phage Sebata,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
AF158101.6,Enterobacteria phage T4,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",36.0
AY264775.1,Enterobacteria phage T7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
NC_011085.3,Morganella phage MmP1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
KY694971.1,Citrobacter phage CF1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales",109.0
KY593455.1,Yersinia phage fHe-Yen9-01,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",83.0
NC_028776.1,Escherichia phage CAjan,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Seuratvirus",193.0
KP064094.1,Escherichia phage CAjan,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Seuratvirus",193.0
NC_001998.1,Guinea pig Chlamydia phage,Viruses; ssDNA viruses; Microviridae; Gokushovirinae; Chlamydiamicrovirus,110.0
NC_029028.1,Enterobacteria phage JenP1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus",193.0
NC_029021.1,Enterobacteria phage JenK1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus",193.0
NC_028997.1,Enterobacteria phage JenP2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus",193.0
NC_028943.1,Escherichia phage pro483,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Peduovirinae; P2virus",121.0
KP861230.1,Acinetobacter phage YMC11/11/R3177,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae",541.0
KT001914.1,Caulobacter phage Seuss,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",972.0
KP719134.1,Enterobacteria phage JenK1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus",193.0
KP719133.1,Enterobacteria phage JenP2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus",193.0
KP719132.1,Enterobacteria phage JenP1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus",193.0
KT266805.1,Roseobacter phage RDJL Phi 2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Rdjlvirus",502.0
KJ477686.1,Enterobacteria phage T4,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",36.0
KJ477685.1,Enterobacteria phage T4,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",36.0
KJ477684.1,Enterobacteria phage T4,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",36.0
NC_027292.1,Pseudomonas phage Pf-10,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",201.0
KR073661.1,Escherichia phage pro483,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Peduovirinae; P2virus",121.0
KR131710.1,Fusobacterium phage Funu1,Viruses; unclassified bacterial viruses,849.0
NC_004165.1,Bacillus virus B103,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Picovirinae; Phi29virus",351.0
NC_001365.1,Spiroplasma phage 1-R8A2B,Viruses; ssDNA viruses; Inoviridae; Vespertiliovirus,621.0
KP025626.1,Pseudomonas phage Pf-10,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",201.0
NC_024355.1,Staphylococcus phage 6ec,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Sextaecvirus",777.0
KJ804259.1,Staphylococcus phage 6ec,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Sextaecvirus",777.0
NC_023737.1,Mycobacterium phage Pleione,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
NC_023733.1,Mycobacterium phage MoMoMixon,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
NC_017732.1,Enterococcus phage EF62phi,Viruses; unclassified bacterial viruses,1821.0
CP002495.1,Enterococcus phage EF62phi,Viruses; unclassified bacterial viruses,1821.0
JQ957925.1,Yersinia phage Y,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
NC_010807.1,Salmonella phage phiSG-JL2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",149.0
NC_015264.1,Pseudomonas phage phiIBB-PF7A,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",201.0
NC_014636.1,Aeromonas phage phiAS5,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",255.0
NC_011038.1,Yersinia phage Yepe2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",181.0
NC_010105.1,Escherichia phage JS98,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",133.0
NC_008694.1,Yersinia phage Berlin,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",181.0
NC_008294.1,Pseudomonas phage PRR1,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; unclassified Leviviridae",1849.0
NC_006882.2,Prochlorococcus phage P-SSP7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unassigned Autographivirinae",58.0
NC_005344.1,Shigella phage Sf6,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; P22virus",88.0
NC_004665.1,Pseudomonad phage gh-1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",201.0
NC_003345.1,Halorubrum phage HF2,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; unclassified archaeal dsDNA viruses; Haloviruses",335.0
AY939843.2,Prochlorococcus phage P-SSP7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unassigned Autographivirinae",58.0
HM452126.1,Aeromonas phage phiAS5,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",255.0
JQ300538.1,Mycobacterium phage Spartacus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Che8virus",23.0
JN699626.1,Mycobacterium phage MoMoMixon,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
JN624850.1,Mycobacterium phage Pleione,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bxz1virus",60.0
GU583987.1,Pseudomonas phage phiIBB-PF7A,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",201.0
EU652770.3,Morganella phage MmP1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
HM137666.1,Enterobacteria phage T4T,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",36.0
AF547987.1,Shigella phage Sf6,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; P22virus",88.0
AF222060.1,Halorubrum phage HF2,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; unclassified archaeal dsDNA viruses; Haloviruses",335.0
J02482.1,Escherichia virus phiX174,Viruses; ssDNA viruses; Microviridae; Bullavirinae; Phix174microvirus,22.0
AY587007.1,Escherichia virus T5,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; T5virus",89.0
X60322.1,Enterobacteria phage alpha3,Viruses; ssDNA viruses; Microviridae; Bullavirinae; Alpha3microvirus,243.0
NC_026605.1,Mycobacterium phage Malithi,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pclasvirinae; Fishburnevirus",137.0
NC_023692.1,Mycobacterium phage BigNuz,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pclasvirinae; Bignuzvirus",137.0
KX641262.1,Mycobacterium phage Nazo,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",137.0
KP027200.1,Mycobacterium phage Malithi,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pclasvirinae; Fishburnevirus",137.0
JN412591.1,Mycobacterium phage BigNuz,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pclasvirinae; Bignuzvirus",137.0
MF919495.1,Mycobacterium phage Bigswole,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",60.0
MF919493.1,Mycobacterium phage Audrick,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",60.0
MF158045.1,Shigella phage Sf22,Viruses; unclassified bacterial viruses,36.0
NC_021529.2,Vibrio phage nt-1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Schizot4virus",352.0
MF158046.1,Shigella phage Sf23,Viruses; unclassified bacterial viruses,36.0
NC_031119.1,Propionibacterium phage Enoki,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
NC_031084.1,Propionibacterium phage BruceLethal,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
NC_031005.1,Propionibacterium phage QueenBey,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
NC_031003.1,Propionibacterium phage Moyashi,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
NC_027630.1,Propionibacterium phage Ouroboros,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027629.1,Propionibacterium phage Attacne,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027628.1,Propionibacterium phage Lauchelly,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027627.1,Propionibacterium phage Solid,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027626.1,Propionibacterium phage Procrass1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027625.1,Propionibacterium phage Kubed,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027624.1,Propionibacterium phage SKKY,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027623.1,Propionibacterium phage Pirate,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027622.1,Propionibacterium phage Stormborn,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027621.1,Propionibacterium phage Wizzo,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
NC_027620.1,Propionibacterium phage MrAK,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR347355.1,Propionibacterium phage QueenBey,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
KR347354.1,Propionibacterium phage Moyashi,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
KR347353.1,Propionibacterium phage Enoki,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
KR347352.1,Propionibacterium phage BruceLethal,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",14.0
KR337654.1,Propionibacterium phage Ouroboros,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337653.1,Propionibacterium phage Pirate,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337652.1,Propionibacterium phage Stormborn,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337651.1,Propionibacterium phage Attacne,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337650.1,Propionibacterium phage Lauchelly,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337649.1,Propionibacterium phage Keiki,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337648.1,Propionibacterium phage SKKY,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337647.1,Propionibacterium phage Solid,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337646.1,Propionibacterium phage Wizzo,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337645.1,Propionibacterium phage Kubed,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337644.1,Propionibacterium phage Procrass1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
KR337643.1,Propionibacterium phage MrAK,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pa6virus",14.0
MF156578.1,Bacillus phage KonjoTrouble,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae",245.0
MF407276.1,Bacillus phage vB_BveP-Goe6,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Picovirinae; Phi29virus",351.0
KY082667.1,Acinetobacter phage SH-Ab 15519,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae",129.0
MF153391.1,Escherichia phage ST2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",53.0
NC_022058.1,Mycobacterium phage Adzzy,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",37.0
KF416344.1,Mycobacterium phage Adzzy,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",37.0
KY471267.1,Mycobacterium phage SassyB,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",23.0
KX897981.1,Mycobacterium phage StarStuff,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",37.0
